Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.81e+00
TIME BACKWARD: 5.31e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
  BckWD::access     ||        64        |    2.6031e-04    |    4.0673e-06    |    9.3969e-07    |
  BckWD::bufpack    ||        11        |    5.7372e-03    |    5.2157e-04    |    1.5840e-04    |
  BckWD::bufsize    ||        22        |    2.6094e-04    |    1.1861e-05    |    6.3330e-06    |
  BckWD::bufunpack  ||        11        |    9.2622e-03    |    8.4202e-04    |    1.9804e-04    |
  BckWD::clone      ||       232        |    1.0746e-01    |    4.6317e-04    |    1.3224e-04    |
  BckWD::free       ||       243        |    3.1355e-03    |    1.2903e-05    |    5.6328e-05    |
  BckWD::init       ||        16        |    1.1504e-02    |    7.1900e-04    |    3.6465e-05    |
  BckWD::norm       ||        32        |    2.0366e-02    |    6.3644e-04    |    3.4168e-05    |
  BckWD::step       ||       296        |    3.5263e+00    |    1.1913e-02    |    1.1933e-03    |
  BckWD::sum        ||       296        |    1.5729e-01    |    5.3140e-04    |    1.3208e-04    |
  ForWD::access     ||        64        |    1.4486e-04    |    2.2634e-06    |    1.2838e-06    |
  ForWD::bufpack    ||        13        |    1.1370e-02    |    8.7463e-04    |    3.7865e-04    |
  ForWD::bufsize    ||        26        |    2.5736e-04    |    9.8985e-06    |    6.0149e-06    |
  ForWD::bufunpack  ||        13        |    1.2239e-02    |    9.4143e-04    |    3.6435e-04    |
  ForWD::clone      ||       457        |    2.9289e-01    |    6.4089e-04    |    3.6990e-04    |
  ForWD::free       ||       422        |    1.9357e-02    |    4.5870e-05    |    2.1141e-04    |
  ForWD::getUVector ||       296        |    3.0649e-03    |    1.0354e-05    |    2.2475e-06    |
  ForWD::init       ||        16        |    1.7995e-02    |    1.1247e-03    |    2.4446e-05    |
  ForWD::norm       ||        32        |    1.8857e-02    |    5.8927e-04    |    1.8199e-05    |
  ForWD::runBraid   ||        1         |    2.7959e+00    |    2.7959e+00    |    0.0000e+00    |
  ForWD::step       ||       280        |    1.6606e+00    |    5.9307e-03    |    1.3612e-03    |
  ForWD::sum        ||       296        |    1.5434e-01    |    5.2142e-04    |    1.2876e-04    |

   *** Proc = 6        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        64        |    2.1483e-04    |    3.3567e-06    |    6.5598e-07    |
  BckWD::bufpack    ||        11        |    5.4818e-03    |    4.9834e-04    |    3.2011e-04    |
  BckWD::bufsize    ||        22        |    2.1189e-04    |    9.6316e-06    |    4.4371e-06    |
  BckWD::bufunpack  ||        11        |    1.1847e-02    |    1.0770e-03    |    4.3291e-04    |
  BckWD::clone      ||       232        |    1.3173e-01    |    5.6781e-04    |    2.9431e-04    |
  BckWD::free       ||       243        |    4.3573e-02    |    1.7931e-04    |    3.0916e-04    |
  BckWD::init       ||        16        |    1.5797e-02    |    9.8732e-04    |    2.0497e-04    |
  BckWD::norm       ||        32        |    1.9840e-02    |    6.2000e-04    |    2.8065e-05    |
  BckWD::step       ||       296        |    3.8447e+00    |    1.2989e-02    |    2.0615e-03    |
  BckWD::sum        ||       296        |    1.4619e-01    |    4.9389e-04    |    8.9800e-05    |
  ForWD::access     ||        64        |    1.2958e-04    |    2.0247e-06    |    9.6477e-07    |
  ForWD::bufpack    ||        13        |    1.1553e-02    |    8.8866e-04    |    4.1324e-04    |
